Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
1192,0.8800644832294255,0.8274251122699084,0.8076853481600895,0.8307150729548782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1361,0.8488098567222122,0.8257801319274235,0.817555230214999,0.8372949943248179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1418,0.8570347584346367,0.8422299353522726,0.8192002105574839,0.8372949943248179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1495,0.8800644832294255,0.835650013982333,0.8142652695300292,0.8323600532973632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1636,0.8767745225444556,0.8257801319274235,0.8405849550097877,0.8274251122699084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1667,0.8520998174071821,0.8208451908999688,0.8274251122699084,0.8208451908999688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1780,0.8570347584346367,0.8274251122699084,0.817555230214999,0.8257801319274235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1936,0.8652596601470612,0.8241351515849387,0.8159102498725141,0.8241351515849387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
1965,0.8669046404895462,0.8323600532973632,0.817555230214999,0.8257801319274235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
2142,0.8866444045993651,0.8290700926123933,0.8142652695300292,0.8340050336398481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
2194,0.9047391883666991,0.8257801319274235,0.8142652695300292,0.8323600532973632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
2291,0.8866444045993651,0.8208451908999688,0.8060403678176047,0.8224901712424537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1
2431,0.9129640900791236,0.8307150729548782,0.8060403678176047,0.8290700926123933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1
2506,0.9047391883666991,0.8323600532973632,0.8126202891875443,0.8340050336398481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1
2568,0.8636146798045764,0.8159102498725141,0.8208451908999688,0.8224901712424537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1
2708,0.9096741293941538,0.8553897780921519,0.8241351515849387,0.8142652695300292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1
2786,0.8981592669967595,0.8422299353522726,0.8257801319274235,0.8142652695300292,0.057965408505546226,-0.41200746964708573,-0.8762961234660531,-0.8160657672360176,0.13157693560506648,-0.35331244217102825,-0.25320975367799164,-0.7020826228302884,0.6016029613038404,-0.09203918219598892,-0.013142941669954509,-0.4534786987263304,-0.3347038108670825,-0.8449218178005494,-0.11904262576321017,-0.9478427975590661,-0.3347038108670825,-0.8449218178005494,-0.11904262576321017,-0.9478427975590661,1,1,1,1
2930,0.8603247191196066,0.8290700926123933,0.8060403678176047,0.8274251122699084,0.057965408505546226,-0.37248222411650056,-0.7816650284801996,-0.8032299722893829,0.13157693560506648,-0.3450746486727864,-0.2824580437555386,-0.6974219232424838,0.6016029613038404,-0.02537595347505033,-0.06973316245615652,-0.44826373433931527,-0.3347038108670825,-0.8375632267273365,-0.15176207012673273,-0.9798666343724385,-0.3347038108670825,-0.8375632267273365,-0.15176207012673273,-0.9798666343724385,1,1,1,1
3005,0.8751295422019707,0.8405849550097877,0.8208451908999688,0.8290700926123933,0.057965408505546226,-0.28366181381900846,-0.6528049372098256,-0.7959065038747342,0.13157693560506648,-0.33185476986970935,-0.30717688642972746,-0.6911782403316222,0.6016029613038404,0.06806141185866693,-0.11052644778032543,-0.421442464778985,-0.3347038108670825,-0.8261139251518194,-0.17335926417273329,-0.9990651463350755,-0.3347038108670825,-0.8261139251518194,-0.17335926417273329,-0.9990651463350755,1,1,1,1
3086,0.8833544439143953,0.8307150729548782,0.8208451908999688,0.8307150729548782,0.057965408505546226,-0.11073540611537445,-0.5914339418892024,-0.7943680894136138,0.13157693560506648,-0.31577399941058004,-0.3292056915885474,-0.6877489745804687,0.6016029613038404,0.17914863977920073,-0.1364987007631351,-0.3657214191772637,-0.3347038108670825,-0.8140817187710594,-0.18918423138201979,-1.008495464254559,-0.3347038108670825,-0.8140817187710594,-0.18918423138201979,-1.008495464254559,1,1,1,1
3246,0.8224901712424537,0.7550459772005725,0.8027504071326348,0.8340050336398481,0.057965408505546226,0.001983707494818074,-0.590008464994467,-0.7943680894136138,0.13157693560506648,-0.29899579442516977,-0.34870576932989505,-0.6903203419022212,0.6016029613038404,0.2861312837319803,-0.14896059866978317,-0.2939776052403262,-0.3347038108670825,-0.8058561105953138,-0.20449101480434767,-1.0115897517389274,-0.3347038108670825,-0.8058561105953138,-0.20449101480434767,-1.0115897517389274,1,1,1,1
3300,0.9129640900791236,0.8323600532973632,0.8159102498725141,0.835650013982333,0.057965408505546226,0.001983707494818074,-0.5878984251809988,-0.7943680894136138,0.13157693560506648,-0.29899579442516977,-0.3655290919987173,-0.6988076623122755,0.6016029613038404,0.2861312837319803,-0.15331135681322466,-0.2305377661800043,-0.3347038108670825,-0.8058561105953138,-0.22219236150000704,-1.011805188824944,-0.3347038108670825,-0.8058561105953138,-0.22219236150000704,-1.011805188824944,1,1,1,1
3385,0.9162540507640935,0.8142652695300292,0.8208451908999688,0.8208451908999688,0.057965408505546226,0.001983707494818074,-0.5738441444584624,-0.7845691790472695,0.13157693560506648,-0.29899579442516977,-0.37996476692407055,-0.7106007404141957,0.6016029613038404,0.2861312837319803,-0.15413721050789184,-0.18751776296678563,-0.3347038108670825,-0.8058561105953138,-0.2423109953394611,-1.008740164182871,-0.3347038108670825,-0.8058561105953138,-0.2423109953394611,-1.008740164182871,1,1,1,1
3522,0.9129640900791236,0.8093303285025745,0.8142652695300292,0.8142652695300292,0.057965408505546226,0.001983707494818074,-0.5669152291743721,-0.7264563872981941,0.13157693560506648,-0.29899579442516977,-0.3927362388483744,-0.7215777231548224,0.6016029613038404,0.2861312837319803,-0.14908202696444534,-0.16398936752233342,-0.3347038108670825,-0.8058561105953138,-0.2632314662724088,-1.002624393581873,-0.3347038108670825,-0.8058561105953138,-0.2632314662724088,-1.002624393581873,1,1,1,1
3627,0.9014492276817293,0.8060403678176047,0.8241351515849387,0.8126202891875443,0.057965408505546226,0.001983707494818074,-0.5637067971198608,-0.6655017475894459,0.13157693560506648,-0.29899579442516977,-0.4053073476319988,-0.7284259350432053,0.6016029613038404,0.2861312837319803,-0.13292169853980948,-0.15277482073808224,-0.3347038108670825,-0.8058561105953138,-0.2832434867862353,-0.9946491279686211,-0.3347038108670825,-0.8058561105953138,-0.2832434867862353,-0.9946491279686211,1,1,1,1
3666,0.8833544439143953,0.8109753088450593,0.8093303285025745,0.8307150729548782,0.057965408505546226,0.001983707494818074,-0.5637067971198608,-0.6295811462447627,0.13157693560506648,-0.29899579442516977,-0.41734181618979715,-0.7303574682604939,0.6016029613038404,0.2861312837319803,-0.0995755024185861,-0.14388827057657183,-0.3347038108670825,-0.8058561105953138,-0.302069998649565,-0.9877346211028789,-0.3347038108670825,-0.8058561105953138,-0.302069998649565,-0.9877346211028789,1,1,1,1
3816,0.8899343652843349,0.8093303285025745,0.8060403678176047,0.835650013982333,0.057965408505546226,-0.02368492066216978,-0.5637067971198608,-0.6777991211751712,0.13157693560506648,-0.29367002409956916,-0.48543632323372304,-0.7359281473432803,0.6016029613038404,0.306937119846054,-0.08015997833438264,-0.11559561729293691,-0.3347038108670825,-0.7965079551288097,-0.387638036475612,-1.005746669302461,-0.3347038108670825,-0.7965079551288097,-0.387638036475612,-1.005746669302461,1,1,1,1
3924,0.8751295422019707,0.8455198960372424,0.8159102498725141,0.8290700926123933,0.057965408505546226,-0.038313905335988385,-0.5637067971198608,-0.7032803860434743,0.13157693560506648,-0.2853179752701418,-0.5369158855163022,-0.7335541614249761,0.6016029613038404,0.34050419578478996,-0.042452305858138646,-0.07243193846896599,-0.3347038108670825,-0.7870593450640521,-0.4635783302329653,-1.019741641868231,-0.3347038108670825,-0.7870593450640521,-0.4635783302329653,-1.019741641868231,1,1,1,1
4073,0.8669046404895462,0.835650013982333,0.8126202891875443,0.8224901712424537,0.057965408505546226,-0.0427285918423414,-0.5637067971198608,-0.709143078140839,0.13157693560506648,-0.27525961673649857,-0.5643195158166111,-0.7220620171953196,0.6016029613038404,0.38477975540265863,0.00937174967596304,-0.02131839239517102,-0.3347038108670825,-0.7795632626636539,-0.5141779870592359,-1.0202926333150297,-0.3347038108670825,-0.7795632626636539,-0.5141779870592359,-1.0202926333150297,1,1,1,1
4120,0.8636146798045764,0.8290700926123933,0.8192002105574839,0.8159102498725141,0.057965408505546226,-0.0427285918423414,-0.5637067971198608,-0.6360766187276119,0.13157693560506648,-0.2631481028519129,-0.5738353455717763,-0.6987002241415456,0.6016029613038404,0.43660441062224525,0.06618365594194968,0.03244945536258921,-0.3347038108670825,-0.7738145853757565,-0.5366302385913002,-0.9986936815752809,-0.3347038108670825,-0.7738145853757565,-0.5366302385913002,-0.9986936815752809,1,1,1,1
4182,0.8603247191196066,0.8224901712424537,0.817555230214999,0.8109753088450593,0.057965408505546226,-0.0427285918423414,-0.5609148711610922,-0.48922570154875394,0.13157693560506648,-0.2631481028519129,-0.5735907813484139,-0.6579472092414831,0.6016029613038404,0.43660441062224525,0.11906243573358122,0.08543326150484705,-0.3347038108670825,-0.7738145853757565,-0.538165789411036,-0.9506900577435161,-0.3347038108670825,-0.7738145853757565,-0.538165789411036,-0.9506900577435161,1,1,1,1
4330,0.8965142866542746,0.799460446447665,0.8192002105574839,0.8076853481600895,0.057965408505546226,-0.0427285918423414,-0.5609148711610922,-0.35461511495584175,0.13157693560506648,-0.2631481028519129,-0.5655718409098617,-0.6024573266454714,0.6016029613038404,0.43660441062224525,0.16211993795260166,0.13404137575149544,-0.3347038108670825,-0.7738145853757565,-0.527196094622602,-0.8837915503511475,-0.3347038108670825,-0.7738145853757565,-0.527196094622602,-0.8837915503511475,1,1,1,1
