Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
1192,0.880064483,0.827425112,0.807685348,0.830715073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1361,0.848809857,0.825780132,0.81755523,0.837294994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1418,0.857034758,0.842229935,0.819200211,0.837294994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1495,0.880064483,0.835650014,0.81426527,0.832360053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1636,0.876774523,0.825780132,0.840584955,0.827425112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1667,0.852099817,0.820845191,0.827425112,0.820845191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1780,0.857034758,0.827425112,0.81755523,0.825780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1936,0.86525966,0.824135152,0.81591025,0.824135152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1965,0.86690464,0.832360053,0.81755523,0.825780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
2142,0.886644405,0.829070093,0.81426527,0.834005034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
2194,0.904739188,0.825780132,0.81426527,0.832360053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
2291,0.886644405,0.820845191,0.806040368,0.822490171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2431,0.91296409,0.830715073,0.806040368,0.829070093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1
2506,0.904739188,0.832360053,0.812620289,0.834005034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1
2568,0.86361468,0.81591025,0.820845191,0.822490171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2708,0.909674129,0.855389778,0.824135152,0.81426527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2786,0.898159267,0.842229935,0.825780132,0.81426527,0.057965409,-0.41200747,-0.876296123,-0.816065767,0.131576936,-0.353312442,-0.253209754,-0.702082623,0.601602961,-0.092039182,-0.013142942,-0.453478699,-0.334703811,-0.844921818,-0.119042626,-0.947842798,-0.334703811,-0.844921818,-0.119042626,-0.947842798,1,1,1,1
2930,0.860324719,0.829070093,0.806040368,0.827425112,0.057965409,-0.372482224,-0.781665028,-0.803229972,0.131576936,-0.345074649,-0.282458044,-0.697421923,0.601602961,-0.025375953,-0.069733162,-0.448263734,-0.334703811,-0.837563227,-0.15176207,-0.979866634,-0.334703811,-0.837563227,-0.15176207,-0.979866634,1,1,1,1
3005,0.875129542,0.840584955,0.820845191,0.829070093,0.057965409,-0.283661814,-0.652804937,-0.795906504,0.131576936,-0.33185477,-0.307176886,-0.69117824,0.601602961,0.068061412,-0.110526448,-0.421442465,-0.334703811,-0.826113925,-0.173359264,-0.999065146,-0.334703811,-0.826113925,-0.173359264,-0.999065146,1,1,1,1
3086,0.883354444,0.830715073,0.820845191,0.830715073,0.057965409,-0.110735406,-0.591433942,-0.794368089,0.131576936,-0.315773999,-0.329205692,-0.687748975,0.601602961,0.17914864,-0.136498701,-0.365721419,-0.334703811,-0.814081719,-0.189184231,-1.008495464,-0.334703811,-0.814081719,-0.189184231,-1.008495464,1,1,1,1
3246,0.822490171,0.755045977,0.802750407,0.834005034,0.057965409,0.001983707,-0.590008465,-0.794368089,0.131576936,-0.298995794,-0.348705769,-0.690320342,0.601602961,0.286131284,-0.148960599,-0.293977605,-0.334703811,-0.805856111,-0.204491015,-1.011589752,-0.334703811,-0.805856111,-0.204491015,-1.011589752,1,1,1,1
3300,0.91296409,0.832360053,0.81591025,0.835650014,0.057965409,0.001983707,-0.587898425,-0.794368089,0.131576936,-0.298995794,-0.365529092,-0.698807662,0.601602961,0.286131284,-0.153311357,-0.230537766,-0.334703811,-0.805856111,-0.222192362,-1.011805189,-0.334703811,-0.805856111,-0.222192362,-1.011805189,1,1,1,1
3385,0.916254051,0.81426527,0.820845191,0.820845191,0.057965409,0.001983707,-0.573844144,-0.784569179,0.131576936,-0.298995794,-0.379964767,-0.71060074,0.601602961,0.286131284,-0.154137211,-0.187517763,-0.334703811,-0.805856111,-0.242310995,-1.008740164,-0.334703811,-0.805856111,-0.242310995,-1.008740164,1,1,1,1
3522,0.91296409,0.809330329,0.81426527,0.81426527,0.057965409,0.001983707,-0.566915229,-0.726456387,0.131576936,-0.298995794,-0.392736239,-0.721577723,0.601602961,0.286131284,-0.149082027,-0.163989368,-0.334703811,-0.805856111,-0.263231466,-1.002624394,-0.334703811,-0.805856111,-0.263231466,-1.002624394,1,1,1,1
3627,0.901449228,0.806040368,0.824135152,0.812620289,0.057965409,0.001983707,-0.563706797,-0.665501748,0.131576936,-0.298995794,-0.405307348,-0.728425935,0.601602961,0.286131284,-0.132921699,-0.152774821,-0.334703811,-0.805856111,-0.283243487,-0.994649128,-0.334703811,-0.805856111,-0.283243487,-0.994649128,1,1,1,1
3666,0.883354444,0.810975309,0.809330329,0.830715073,0.057965409,0.001983707,-0.563706797,-0.629581146,0.131576936,-0.298995794,-0.417341816,-0.730357468,0.601602961,0.286131284,-0.099575502,-0.143888271,-0.334703811,-0.805856111,-0.302069999,-0.987734621,-0.334703811,-0.805856111,-0.302069999,-0.987734621,1,1,1,1
3816,0.889934365,0.809330329,0.806040368,0.835650014,0.057965409,-0.023684921,-0.563706797,-0.677799121,0.131576936,-0.293670024,-0.485436323,-0.735928147,0.601602961,0.30693712,-0.080159978,-0.115595617,-0.334703811,-0.796507955,-0.387638036,-1.005746669,-0.334703811,-0.796507955,-0.387638036,-1.005746669,1,1,1,1
3924,0.875129542,0.845519896,0.81591025,0.829070093,0.057965409,-0.038313905,-0.563706797,-0.703280386,0.131576936,-0.285317975,-0.536915886,-0.733554161,0.601602961,0.340504196,-0.042452306,-0.072431938,-0.334703811,-0.787059345,-0.46357833,-1.019741642,-0.334703811,-0.787059345,-0.46357833,-1.019741642,1,1,1,1
4073,0.86690464,0.835650014,0.812620289,0.822490171,0.057965409,-0.042728592,-0.563706797,-0.709143078,0.131576936,-0.275259617,-0.564319516,-0.722062017,0.601602961,0.384779755,0.00937175,-0.021318392,-0.334703811,-0.779563263,-0.514177987,-1.020292633,-0.334703811,-0.779563263,-0.514177987,-1.020292633,1,1,1,1
4120,0.86361468,0.829070093,0.819200211,0.81591025,0.057965409,-0.042728592,-0.563706797,-0.636076619,0.131576936,-0.263148103,-0.573835346,-0.698700224,0.601602961,0.436604411,0.066183656,0.032449455,-0.334703811,-0.773814585,-0.536630239,-0.998693682,-0.334703811,-0.773814585,-0.536630239,-0.998693682,1,1,1,1
