Time ms,AlphaAbs1,AlphaAbs2,AlphaAbs3,AlphaAbs4
3521,-0.105692651,-0.443313167,0.007034145,0.217705863
3579,0.061389695,-0.368963247,0.108868785,0.228576836
3723,0.130888069,-0.34514309,0.142144048,0.228576836
3804,0.142622582,-0.34514309,0.143680092,0.228576836
3950,0.144690968,-0.34514309,0.143680092,0.228576836
4011,0.144690968,-0.34514309,0.143680092,0.228576836
4088,0.144690968,-0.34514309,0.143680092,0.228576836
4257,0.144690968,-0.34514309,0.143680092,0.228576836
4316,0.144690968,-0.34514309,0.143680092,0.113616155
4376,0.144690968,-0.34514309,0.143680092,0.078508302
4542,0.144737842,-0.34514309,0.143680092,0.105263867
4620,0.180100544,-0.342183106,0.143680092,0.131724682
4675,0.229297184,-0.317677529,0.143680092,0.141788147
4827,0.284773494,-0.284267262,0.143680092,0.14858037
4893,0.331625996,-0.267540252,0.143680092,0.136025724
5035,0.373169639,-0.265421648,0.143680092,0.155811683
5142,0.393737327,-0.278015234,0.136339437,0.178603509
5200,0.388536352,-0.31005065,0.069076513,0.213239682
5341,0.364814811,-0.319543717,-0.039388247,0.252259647
5439,0.359518913,-0.327549424,-0.151338207,0.266572028
5480,0.359518913,-0.332734954,-0.200473135,0.269274911
5625,0.359518913,-0.332734954,-0.22563371,0.269274911
5682,0.359518913,-0.332734954,-0.239276187,0.267019701
5782,0.359518913,-0.332734954,-0.250927521,0.273598133
5931,0.359518913,-0.332734954,-0.266932348,0.2974653
5992,0.359518913,-0.332734954,-0.281097397,0.311365488
6142,0.359518913,-0.334071863,-0.327333757,0.311365488
6201,0.359518913,-0.344936926,-0.414950754,0.311365488
6304,0.346042246,-0.357536552,-0.508174182,0.310892425
6431,0.331018744,-0.3844309,-0.618450934,0.305978838
6512,0.31076244,-0.441335635,-0.634071133,0.299810269
6567,0.254254946,-0.505728205,-0.570791491,0.290302043
6736,0.132667662,-0.568176028,-0.510293552,0.278504822
6794,-0.036486887,-0.602613583,-0.460299588,0.270576141
6881,-0.192804491,-0.651159077,-0.405938696,0.253725296
7025,-0.248749444,-0.661788876,-0.38091079,0.217975149
7104,-0.212295873,-0.661788876,-0.371174245,0.156269078
7251,-0.200242564,-0.661788876,-0.370054408,0.081534034
7311,-0.208150044,-0.61577381,-0.356734324,0.06758918
7416,-0.211828982,-0.562217479,-0.333206976,0.061714113
7519,-0.219870864,-0.474573818,-0.289493686,0.028270691
7600,-0.18236578,-0.352499178,-0.226645713,-0.048212276
7680,-0.108298367,-0.312198147,-0.190225401,-0.134674976
7823,-0.051438172,-0.308380772,-0.177470101,-0.152089187
7880,0.009264147,-0.304696481,-0.177470101,-0.152089187
7987,0.081565614,-0.295949885,-0.177470101,-0.152089187
8106,0.081565614,-0.292005735,-0.177470101,-0.152089187
8184,0.081565614,-0.292005735,-0.181101813,-0.152089187
8356,0.079442114,-0.282423052,-0.158045656,-0.152089187
8412,0.068171802,-0.254319463,-0.069114828,-0.152089187
8496,0.060601604,-0.218844046,-1.12E-04,-0.152089187
8622,0.060601604,-0.196136677,0.043979824,-0.152089187
8695,0.060601604,-0.19019946,0.063361567,-0.152089187
8777,0.060601604,-0.189547835,0.063361567,-0.152089187
8920,0.060601604,-0.189547835,0.063361567,-0.152089187
9001,0.060601604,-0.189547835,0.063361567,-0.152089187
9078,0.057029459,-0.189547835,0.063361567,-0.152089187
9218,0.058718912,-0.217686947,0.063361567,-0.152089187
9273,0.052939242,-0.263435451,0.063361567,-0.152089187
9434,0.036224087,-0.270944322,0.063361567,-0.152089187
9536,-0.452635402,-0.270944322,0.063361567,-0.152089187
9592,-0.452635402,-0.270944322,0.063361567,-0.152089187
9711,-0.452635402,-0.260089942,0.063361567,-0.152089187
9828,-0.452635402,-0.252844918,0.063361567,-0.152089187
9863,-0.452635402,-0.26198505,0.063361567,-0.152089187
10027,-0.452635402,-0.26198505,0.046685774,-0.152089187
10084,-0.452635402,-0.28483294,-0.015468471,-0.152089187
10164,-0.44608781,-0.330171969,-0.140980561,-0.065438712
10309,-0.44608781,-0.366794482,-0.293155693,-0.065438712
10385,-0.444820161,-0.366794482,-0.41821782,-0.065438712
10529,-0.444820161,-0.366794482,-0.445548383,-0.083065981
10607,-0.453564755,-0.366794482,-0.417520917,-0.115695182
10665,-0.464527496,-0.351705737,-0.344042318,-0.158988087
10811,-0.504237105,-0.333384604,-0.253972712,-0.134317545
10917,-0.519469736,-0.332583568,-0.223866258,-0.120226743
10975,-0.445354279,-0.332583568,-0.220073699,-0.095638218
11123,-0.445354279,-0.332583568,-0.220073699,-0.076186764
11209,-0.445354279,-0.353941259,-0.220073699,-0.033574784
11268,-0.445354279,-0.432403533,-0.223865238,-0.033574784
11390,-0.445354279,-0.470669622,-0.238449515,-0.033574784
11498,-0.445354279,-0.482669973,-0.256442196,0.21659954
11622,-0.453472819,-0.491906261,-0.255170133,0.206342806
11705,-0.457265976,-0.489459365,-0.255170133,0.203401405
11763,-0.464669737,-0.488595786,-0.252474999,0.203401405
11949,-0.478710747,-0.488135003,-0.252474999,0.203401405
12016,-0.478710747,-0.480427138,-0.244392276,0.203401405
12073,-0.478710747,-0.455790973,-0.233049603,0.203401405
12219,-0.478710747,-0.418832531,-0.226401727,0.203401405
12276,-0.478710747,-0.381000237,-0.229855643,0.203401405
12376,-0.478710747,-0.365308932,-0.266478291,0.203401405
12501,-0.478710747,-0.348684909,-0.316766796,0.203401405
12577,-0.478710747,-0.348684909,-0.382610318,0.203401405
12718,-0.478710747,-0.349926696,-0.40384211,0.203401405
12794,-0.478710747,-0.350323896,-0.40384211,0.203401405
12874,-0.478710747,-0.350553303,-0.40384211,0.203401405
13016,-0.478710747,-0.350553303,-0.40384211,0.203401405
13096,-0.478710747,-0.350553303,-0.402138949,0.203401405
13175,-0.478710747,-0.350553303,-0.402138949,0.203401405
13314,-0.478710747,-0.350553303,-0.424332373,0.203401405
13371,-0.478710747,-0.350553303,-0.426109999,0.203401405
13477,-0.478710747,-0.350553303,-0.450913097,0.203401405
13619,-0.478710747,-0.350553303,-0.429704685,0.203401405
13674,-0.478710747,-0.350553303,-0.389427846,0.203401405
13811,-0.478710747,-0.34232263,-0.280227563,0.203401405
13936,-0.478710747,-0.339599456,-0.20173081,0.203401405
13971,-0.478710747,-0.334383008,-0.173219291,0.203401405
14113,-0.478710747,-0.336871153,-0.144715548,0.203401405
14167,-0.478710747,-0.336871153,-0.138488855,0.203401405
14268,-0.478710747,-0.336871153,-0.122936031,0.203401405
14411,-0.478710747,-0.336871153,-0.089404393,0.203401405
14487,-0.478710747,-0.336871153,-0.029542356,0.203401405
14630,-0.478710747,-0.336871153,0.031666841,0.203401405
14684,-0.478710747,-0.33519366,0.051761241,0.203401405
14786,-0.00930343,-0.320800486,0.053640222,0.203401405
14909,-0.00930343,-0.320800486,0.056523827,0.203401405
15015,-0.00930343,-0.320800486,0.056523827,0.203401405
15071,-0.00930343,-0.320800486,0.064647581,0.203401405
15213,-0.00930343,-0.320800486,0.064647581,0.203401405
15288,-0.00930343,-0.320800486,0.064647581,0.203401405
15365,-0.00930343,-0.326320814,0.06371101,0.203401405
15493,-0.00930343,-0.362043091,0.06371101,0.203401405
15592,-0.00930343,-0.356680893,0.06371101,0.203401405
15756,-0.00930343,-0.3303471,0.06371101,0.203401405
15790,-0.00930343,-0.312018355,0.06371101,0.203401405
15891,-0.00930343,-0.304740814,0.06371101,0.203401405
16010,-0.00930343,-0.29036748,0.05252827,0.203401405
16104,-0.00930343,-0.28421324,0.05252827,0.203401405
16158,-0.00930343,-0.281538307,0.05252827,0.203401405
16299,-0.00930343,-0.281538307,0.05252827,0.203401405
16372,-0.00930343,-0.280746529,0.05252827,0.203401405
16470,-0.00930343,-0.280746529,0.05252827,0.203401405
16589,-0.00930343,-0.277680031,0.05252827,0.203401405
16693,-0.00930343,-0.277680031,0.05252827,0.203401405
16812,-0.00930343,-0.277680031,0.05252827,0.203401405
16891,-0.00930343,-0.277680031,0.05252827,0.203401405
16964,-0.00930343,-0.277680031,0.05252827,0.203401405
17100,-0.00930343,-0.277680031,0.05252827,0.203401405
17198,-0.00930343,-0.285976524,0.05252827,0.203401405
17251,-0.00930343,-0.348447092,0.05252827,0.203401405
17412,-0.00930343,-0.437718144,0.05252827,0.203401405
17466,-0.00930343,-0.534739444,0.05252827,0.203401405
17565,-0.00930343,-0.610347358,0.05252827,0.203401405
17701,-0.00930343,-0.661530995,0.05252827,0.203401405
17778,-0.00930343,-0.744764634,0.05252827,0.203401405
17895,-0.00930343,-0.767804915,0.05252827,0.203401405
18015,-0.00930343,-0.79560512,0.05252827,0.203401405
18048,-0.00930343,-0.797160751,0.05252827,0.203401405
18208,-0.00930343,-0.774574008,0.05252827,0.203401405
18324,-0.00930343,-0.770705452,0.05252827,0.203401405
18359,-0.00930343,-0.702910899,0.05252827,0.203401405
18498,-0.00930343,-0.655166595,0.05252827,0.203401405
18583,-0.321725547,-0.604958327,-0.88262604,0.203401405
18648,-0.311888692,-0.56523204,-0.818346828,0.203401405
18790,-0.275471546,-0.549623016,-0.755039778,0.203401405
18883,-0.258458316,-0.544184883,-0.720689333,0.203401405
19005,-0.242145373,-0.544025577,-0.704348873,0.203401405
19083,-0.231767472,-0.532413356,-0.690396657,0.203401405
19162,-0.195069365,-0.546481424,-0.652171835,-0.550451504
19306,-0.178546941,-0.547257768,-0.652171835,-0.550451504
19408,-0.178546941,-0.548762239,-0.652171835,-0.529276408
19466,-0.178546941,-0.548762239,-0.652171835,-0.529276408
19609,-0.2308412,-0.548622401,-0.652171835,-0.529276408
19700,-0.25586521,-0.534654958,-0.652177481,-0.529276408
19737,-0.268459044,-0.50966439,-0.662233811,-0.529276408
19887,-0.268630712,-0.478970321,-0.685705537,-0.529276408
19989,-0.28598469,-0.464854108,-0.690940853,-0.529276408
20132,-0.338019761,-0.460784908,-0.690940853,-0.529276408
20192,-0.357146462,-0.464992285,-0.690940853,-0.63501722
20251,-0.376510183,-0.479318001,-0.690940853,-0.683926652
20417,-0.376510183,-0.502899293,-0.690940853,-0.683926652
20472,-0.376510183,-0.514630008,-0.690940853,-0.683926652
20546,-0.376510183,-0.518433731,-0.690940853,-0.683926652
20701,-0.376510183,-0.538407113,-0.690940853,-0.683926652
20773,-0.376510183,-0.558077752,-0.690940853,-0.683926652
20828,-0.376510183,-0.558077752,-0.690940853,-0.683926652
20993,-0.376510183,-0.558077752,-0.690940853,-0.683926652
21048,-0.376510183,-0.558077752,-0.699576801,-0.683926652
21198,-0.376510183,-0.558077752,-0.625230401,-0.683926652
21295,-0.376510183,-0.558970195,-0.58417122,-0.683926652
21350,-0.376510183,-0.57300877,-0.568780739,-0.683926652
21512,-0.376510183,-0.628354275,-0.568780739,-0.683926652
21567,-0.376510183,-0.725947643,-0.568780739,-0.683926652
21643,-0.376510183,-0.808715034,-0.568780739,-0.683926652
21807,-0.376510183,-0.834394736,-0.568780739,-0.683926652
21861,-0.376510183,-0.822837712,-0.568780739,-0.683926652
21964,-0.376510183,-0.815180422,-0.568413245,-0.683926652
22110,-0.376510183,-0.815180422,-0.553344095,-0.683926652
22147,-0.376510183,-0.815180422,-0.546454157,-0.683926652
22313,-0.376510183,-0.815180422,-0.494875466,-0.683926652
22419,-0.376510183,-0.80405929,-0.49847664,-0.683926652
22455,-0.376510183,-0.785418096,-0.499071384,-0.683926652
22601,-0.376510183,-0.725025405,-0.507360858,-0.683926652
22661,-0.376510183,-0.646144293,-0.519151753,-0.683926652
22735,-0.376510183,-0.557737595,-0.519403513,-0.683926652
22874,-0.376510183,-0.431281216,-0.542169141,-0.683926652
22980,-0.376510183,-0.267926319,-0.600341196,-0.683926652
23034,-0.376510183,-0.157377375,-0.645341747,-0.683926652
23193,-0.376510183,-0.11427336,-0.645341747,-0.683926652
