Time ms,AlphaAbs0,AlphaAbs1,AlphaAbs2,AlphaAbs3, BetaAbs0, BetaAbs1, BetaAbs2, BetaAbs3, DeltaAbs0, DeltaAbs1, DeltaAbs2, DeltaAbs3, GammaAbs0, GammaAbs1, GammaAbs2, GammaAbs3, ThetaAbs0, ThetaAbs1, ThetaAbs2, ThetaAbs3, Horseshoe0, Horseshoe1, Horseshoe2, Horseshoe4 
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2
1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2
1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2
2110,0,-0.525437266,0,0,0,-0.88243829,0,0,0,-0.084313677,0,0,0,-1.310852908,0,0,0,-1.310852908,0,0,4,1,2,2
2185,0,-0.453409453,0,0,0,-0.881372214,0,0,0,0.015572475,0,0,0,-1.311992347,0,0,0,-1.311992347,0,0,4,1,2,2
2349,0,-0.353456979,0,0,0,-0.875559974,0,0,0,0.105037875,0,0,0,-1.307802468,0,0,0,-1.307802468,0,0,2,1,2,2
2429,0,-0.303657151,0,0,0,-0.867947705,0,0,0,0.171665643,0,0,0,-1.299890106,0,0,0,-1.299890106,0,0,2,1,2,2
2484,0,-0.298707084,0,0,0,-0.862535704,0,0,0,0.209324494,0,0,0,-1.290924462,0,0,0,-1.290924462,0,0,1,1,2,1
2621,0,-0.296850465,0,0,0,-0.861853141,0,0,0,0.217810436,0,0,0,-1.28256943,0,0,0,-1.28256943,0,0,1,1,2,1
2722,0,-0.296850465,0,0,0,-0.866423411,0,0,0,0.205036163,0,0,0,-1.27584491,0,0,0,-1.27584491,0,0,1,1,1,1
2846,0,-0.296850465,0,0,0,-0.872862072,0,0,0,0.189463812,0,0,0,-1.269166473,0,0,0,-1.269166473,0,0,4,1,2,1
2925,0,-0.296850465,0,0,0,-0.875381185,0,0,0,0.191366564,0,0,0,-1.257539758,0,0,0,-1.257539758,0,0,4,1,2,1
2981,0,-0.296850465,0,0,0,-0.863568841,0,0,0,0.229523636,0,0,0,-1.234792011,0,0,0,-1.234792011,0,0,4,1,2,1
3142,0,-0.309205794,0,0,0,-0.819206352,0,0,0,0.32576172,0,0,0,-1.189773307,0,0,0,-1.189773307,0,0,4,1,2,1
